Link,Nome,Preço
https://www.kabum.com.br/produto/345226,"Processador Intel Core I5-3470S, 2.90GHz, Cache 6MB, Quad Core, 4 Threads, LGA 1151, Ví­deo Integrado, OEM","R$ 197,18"
https://www.kabum.com.br/produto/429954,Processador Intel 1155 Core I3 2120 3.3ghz/3MB S/ Cooler Tray 2º G I3-2120,"R$ 57,27"
https://www.kabum.com.br/produto/444812,"Processador Intel Core I7 6700, 6ª Geração, 3.40ghz, 8MB Oem 1151","R$ 719,10"
https://www.kabum.com.br/produto/375652,"Processador Intel Core I3 3220 3ª Geração, 3.30GHz, Cache 3MB, LGA 1155, OEM","R$ 52,44"
https://www.kabum.com.br/produto/345300,"Processador Intel Core I5-2400, 3.10GHz, Cache 6MB, Quad Core, LGA 1155, OEM","R$ 136,23"
https://www.kabum.com.br/produto/284076,"Processador Intel Core I9-9900KF Coffee Lake Refresh, 3.6GHz (5.0GHz Max Turbo), Cache 16MB, Octa Core, LGA 1151, Sem Ví­deo - BX80684I99900KF","R$ 2.978,99"
https://www.kabum.com.br/produto/345631,"Processador AMD FX-6300, 3.50GHz, Cache 8MB, Hexa Core, AM3+, OEM","R$ 340,60"
https://www.kabum.com.br/produto/171126,"Processador Intel Core I5 3470, 2.9GHZ (3.6ghz Turbo), 4 cores, 4 threads, LGA 1155 Oem","R$ 288,00"
https://www.kabum.com.br/produto/231392,"Processador Intel I3-6100, 3.70GHz, Cache 3MB, Dual Core, 4 Threads, FCLGA 1151, OEM","R$ 220,84"
https://www.kabum.com.br/produto/422668,"Processador Intel Core I5-6500, 3.20GHz, 1151 - Oem","R$ 522,24"
https://www.kabum.com.br/produto/444814,"Processador Intel Core I5 6500, 6ª Geração 3.20ghz, 6MB Oem 1151","R$ 404,10"
https://www.kabum.com.br/produto/463691,"Processador Intel Core I3 12100f 3.3ghz (4.3ghz Turbo), 12ª Geração, 4-cores 8-threads, Lga 1700","R$ 839,41"
https://www.kabum.com.br/produto/238146,"Processador Intel Core I3-3220, 3.30GHz, Cache 3MB, Dual Core, 4 Threads, DDR3","R$ 94,25"
https://www.kabum.com.br/produto/317202,"Processador Intel Core I5-12600KF 12ª Geração, 3.7GHz, Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700 - BX8071512600KF","R$ 1.651,47"
https://www.kabum.com.br/produto/199796,"Processador Intel Pentium Gold G6405 10ª Geração, 4.10GHz, Dual Core, 4 Threads, LGA 1200 - BX80701G6405","R$ 632,15"
https://www.kabum.com.br/produto/274507,"Processador Intel Core I9-12900K 12ª Geração, 3.2GHz (5.2GHz Max Turbo), Cache 30MB, Octa Core, 24 Threads, LGA 1700, Vídeo Integrado - BX8071512900K","R$ 3.191,67"
https://www.kabum.com.br/produto/463524,"Processador AMD Ryzen 9 7950x3d Am5 4.2ghz,5.7ghz Max Turbo, 144mb Com Vídeo S/ Cooler - 100-100000908WOF","R$ 4.766,72"
https://www.kabum.com.br/produto/442568,"Processador AMD Ryzen 9 7900x3d 4.40ghz, 12-core, 128MB, Am5","R$ 3.745,01"
https://www.kabum.com.br/produto/391167,"Processador Intel Core I5-11500 11ª Geração, 2.7GHz, Cache 12MB, Hexa Core, 4 Threads, LGA 1200 - BX8070811500","R$ 1.431,32"
https://www.kabum.com.br/produto/450196,"Processador Intel Core I3-12100, 3.3ghz (4.3ghz Turbo) Lga1700, 12MB Cache, 12ª Ger. - Bx8071512100","R$ 905,20"
https://www.kabum.com.br/produto/420260,"Processador AMD Ryzen 9 7900, 3.7GHz (5.4GHz Max Turbo), Cache 64MB, 12 Cores, 24 Threads, AM5, Wraith Prism - 100-100000590BOX","R$ 2.968,97"
https://www.kabum.com.br/produto/102248,"Processador AMD Ryzen 3 3200G, 3.6GHz (4GHz Max Turbo), Cache 4MB, Quad Core, 4 Threads, AM4 - YD3200C5FHBOX","R$ 499,99"
https://www.kabum.com.br/produto/241046,"Processador Intel Core i5-12600K, 3.7GHz (4.9GHz Max Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071512600K","R$ 1.769,99"
https://www.kabum.com.br/produto/409889,"Processador AMD Ryzen 7 5800X3D, 3.4GHz - 100100000651WOFI","R$ 2.013,57"
https://www.kabum.com.br/produto/466557,"Processador AMD Ryzen 7 7800x3d, Am5, 4.2GHz (5.0ghz Max Turbo), 104MB, C/ Vídeo E Sem Cooler - 100-100000910wof","R$ 2.982,57"
https://www.kabum.com.br/produto/129459,"Processador AMD Ryzen 7 5800X, 3.8GHz (4.7GHz Max Turbo), Cache 36MB, Octa Core, 16 Threads, AM4 - 100-100000063WOF","R$ 1.499,99"
https://www.kabum.com.br/produto/181064,"Processador Intel Core i3-10105F, 3.7GHz (4.4GHz Max Turbo), Cache 6MB, Quad Core, 8 Thread, LGA 1200 - BX8070110105F","R$ 414,99"
https://www.kabum.com.br/produto/113002,"Processador Intel Celeron G-5900, 3.4GHz, Cache 2MB, Dual Core, 2 Threads, LGA 1200, Vídeo Integrado - BX80701G5900","R$ 305,99"
https://www.kabum.com.br/produto/421576,Processador Intel Core I9 11900f Box LGA 1200 16MB Cache S/ Vídeo - Bx8070811900f,"R$ 2.299,90"
https://www.kabum.com.br/produto/148903,"Processador Intel Core i5-11600K 11ª Geração, 3.9 GHz (4.9GHz Turbo), Cache 12MB, 6 Núcleos, 12 Threads, LGA 1200, Vídeo Integrado - BX8070811600K","R$ 1.299,99"
https://www.kabum.com.br/produto/148912,"Processador Intel Core i9-11900KF 11ª Geração, 3.5 GHz (5.1GHz Turbo), Cache 16MB, Octa Core, 16 Threads, LGA1200 - BX8070811900KF","R$ 2.299,99"
https://www.kabum.com.br/produto/133290,"Processador Intel Celeron G5905, 3.50 GHz, Cache 4MB, 2 Núcleos, 2 Threads, LGA 1200, Vídeo Integrado - BX80701G5905","R$ 279,99"
https://www.kabum.com.br/produto/148913,"Processador Intel Core i7-11700KF 11ª Geração, 3.6 GHz (4.9GHz Turbo), Cache 16MB, Octa Core, 16 Threads, LGA1200 - BX8070811700KF","R$ 1.999,99"
https://www.kabum.com.br/produto/148917,"Processador Intel Core i5-11400F, 2.6 GHz (4.4GHz Turbo), Cache 12MB, 6 Núcleos, 12 Threads, LGA1200 - BX8070811400F","R$ 799,99"
